Name,Region,County,Metres,Feet,Latitude,Longitude,Matthew,Scott
Beinn Eighe - Ruadh-stac Mor,13A: Loch Torridon to Loch Maree,Highland,1010,3314,57.593735,-5.429454,,
Beinn Dearg (Blair Atholl),06A: Glen Tromie to Glen Tilt,Perth and Kinross,1008.7,3309,56.877346,-3.883719,,
The Devil's Point,08A: Cairngorms,Aberdeenshire,1006.9,3303,57.03571,-3.688803,,
An Sgarsoch,06A: Glen Tromie to Glen Tilt,Aberdeenshire/Perth and Kinross,1006.5,3302,56.932109,-3.754294,,
Carn Liath,09C: Loch Lochy to Loch Laggan,Highland,1006.1,3301,56.978793,-4.515289,,
Beinn Fhionnlaidh (Carn Eige,11A: Loch Duich to Cannich,Highland,1004.8,3297,57.305977,-5.129909,,
Maoile Lunndaidh,12A: Kyle of Lochalsh to Garve,Highland,1004.9,3297,57.464477,-5.111002,,
Beinn an Dothaidh,02A: Loch Rannoch to Glen Lyon,Argyll and Bute,1004,3294,56.53013,-4.713981,,
Sgurr an Lochain,10A: Glen Shiel to Loch Hourn and Loch Quoich,Highland,1004,3294,57.141288,-5.297466,,
Sgurr Mor (Loch Quoich),10B: Knoydart to Glen Kingie,Highland,1003,3291,57.028446,-5.354206,,
Beinn a' Bheithir - Sgorr Dhonuill,03B: Loch Linnhe to Loch Etive,Highland,1002.1,3288,56.650531,-5.19789,,
Sgurr na Carnach,11A: Loch Duich to Cannich,Highland,1002,3287,57.189034,-5.349224,,
Meall Greigh,02B: Glen Lyon to Glen Dochart & Loch Tay,Perth and Kinross,1001,3284,56.567417,-4.159559,,
Aonach Meadhoin,11A: Loch Duich to Cannich,Highland,1001,3284,57.173026,-5.229166,,
Stob Ban (Mamores),04A: Fort William to Loch Treig & Loch Leven,Highland,999.7,3280,56.743706,-5.030328,,
Sgurr Breac,14B: The Fannaichs,Highland,999.6,3280,57.691943,-5.09131,,
Sgurr Choinnich,12A: Kyle of Lochalsh to Garve,Highland,999.3,3279,57.451026,-5.207916,,
Stob Daimh [Stob Diamh],03C: Glen Etive to Glen Lochy,Argyll and Bute,999.2,3278,56.431336,-5.091319,2025,
Sail Chaorainn,11B: Glen Affric to Glen Moriston,Highland,999.2,3278,57.191631,-5.091183,,
Ben More Assynt,16E: Scourie to Lairg,Highland,998.9,3277,58.138164,-4.858208,2014,
A' Chailleach (Fannaichs),14B: The Fannaichs,Highland,998.6,3276,57.693773,-5.128713,,
Glas Bheinn Mhor,03C: Glen Etive to Glen Lochy,Argyll and Bute/Highland,997.7,3273,56.542434,-5.005252,2024,
Broad Cairn,07A: Braemar to Montrose,Aberdeenshire/Angus,997.1,3271,56.919148,-3.249082,,
An Caisteal,01C: Loch Lomond to Strathyre,Stirling,995.9,3267,56.338618,-4.62437,,
Spidean Mialach,10A: Glen Shiel to Loch Hourn and Loch Quoich,Highland,995.9,3267,57.088964,-5.193614,,
Sgurr na h-Ulaidh [Sgor na h-Ulaidh],03B: Loch Linnhe to Loch Etive,Highland,994,3261,56.619804,-5.080061,,
Carn an Fhidhleir [Carn Ealar],06A: Glen Tromie to Glen Tilt,Aberdeenshire/Highland/Perth and Kinross,994,3261,56.936029,-3.801535,,
Sgurr na Ruaidhe,12A: Kyle of Lochalsh to Garve,Highland,993,3258,57.441497,-4.852465,,
Beinn Eighe - Spidean Coire nan Clach,13A: Loch Torridon to Loch Maree,Highland,993,3258,57.582098,-5.403706,,
Carn nan Gobhar (Loch Mullardoch),12B: Killilan to Inverness,Highland,992.3,3256,57.363304,-5.024544,2024,
Carn nan Gobhar (Strathfarrar),12A: Kyle of Lochalsh to Garve,Highland,992,3255,57.452331,-4.879935,,
Sgurr Alasdair,17B: Minginish and the Cuillin Hills,Highland,992,3255,57.206589,-6.224143,,
Sgairneach Mhor,05A: Loch Ericht to Glen Tromie & Glen Garry,Perth and Kinross,991.4,3253,56.828406,-4.298084,,
Beinn Eunaich,03C: Glen Etive to Glen Lochy,Argyll and Bute,989,3245,56.450352,-5.026639,,
Sgurr Ban,14A: Loch Maree to Loch Broom,Highland,989,3245,57.718538,-5.265903,,
Creag Leacach,07A: Braemar to Montrose,Angus/Perth and Kinross,988.2,3242,56.85464,-3.387768,2021,
Lurg Mhor,12A: Kyle of Lochalsh to Garve,Highland,987.5,3240,57.413091,-5.223666,,
Conival,16E: Scourie to Lairg,Highland,987.6,3240,58.135689,-4.883497,2014,
Gulvain [Gaor Bheinn],10D: Mallaig to Fort William,Highland,987,3238,56.936211,-5.284527,,
Beinn Alligin - Sgurr Mor,13A: Loch Torridon to Loch Maree,Highland,986,3235,57.590829,-5.572765,,
Sgurr Dearg - Inaccessible Pinnacle,17B: Minginish and the Cuillin Hills,Highland,985.8,3234,57.213261,-6.234818,,
Ben Vorlich (Loch Earn),01B: Strathyre to Strathallan,Perth and Kinross,985.3,3233,56.34268,-4.219464,2016,2016
Druim Shionnach,10A: Glen Shiel to Loch Hourn and Loch Quoich,Highland,985.2,3232,57.126794,-5.182841,,
Mullach na Dheiragain,11A: Loch Duich to Cannich,Highland,982,3222,57.283399,-5.186333,,
An Gearanach,04A: Fort William to Loch Treig & Loch Leven,Highland,981.5,3220,56.759172,-4.96623,,
Meall na Aighean,02A: Loch Rannoch to Glen Lyon,Perth and Kinross,981,3219,56.620627,-4.128741,,
Stob Coire a' Chairn,04A: Fort William to Loch Treig & Loch Leven,Highland,981.3,3219,56.750756,-4.968985,,
Ciste Dhubh,11A: Loch Duich to Cannich,Highland,981.1,3219,57.199243,-5.209033,,
Slioch,14A: Loch Maree to Loch Broom,Highland,981,3219,57.667148,-5.347061,,
Maol Chinn-dearg,10A: Glen Shiel to Loch Hourn and Loch Quoich,Highland,980.3,3216,57.12756,-5.252651,,
Beinn a' Chochuill,03C: Glen Etive to Glen Lochy,Argyll and Bute,980,3215,56.44979,-5.068552,,
Stob Coire Sgriodain,04B: Loch Treig to Loch Ericht,Highland,979,3212,56.831744,-4.694934,,
Beinn Dubhchraig,01D: Inveraray to Crianlarich,Stirling,978.6,3211,56.391295,-4.743193,,
Cona' Mheall,15A: Loch Broom to Strath Oykel,Highland,977.8,3208,57.791077,-4.903418,,
Stob Ban (Grey Corries),04A: Fort William to Loch Treig & Loch Leven,Highland,977,3205,56.810656,-4.840877,,
